RootCategory,Textbox69,SystemQuantity3,AdjustmentQuanity4,VatSales8,Profit5,Textbox462,ParentCategory,Qty5,CostOfSales5,Sales5,VatSales6,Profit3,Textbox459,ProductCategory,Textbox48,SystemQuantity2,AdjustmentQuanity3,VatSales5,Profit2,Textbox460,ProductName,ProductUOM2,CurrentRTL,Textbox51,Textbox52,Textbox53,VatRate,Textbox54,Profit1,MrgPercent,LastSold,Textbox56,CostOfSales,Textbox57,Textbox60,Profit,OverallMargin
TOBACCO,1495.00,12261.58,17337.99,3240.34,1836.07,13.02,CIGARETTES/ TOBACCO,1069.00,11098.39,15187.44,2838.90,1250.15,10.12,CIGARETTES,764.00,8638.65,11538.95,2157.20,743.10,7.92,MARLBORO GOLD SK 20S 20PK,40235257,14.70,1.00,11.01,14.70,23.00,2.75,0.94,7.87,18/04/22,1495.00,12261.58,17337.99,3240.34,1836.07,13.02
TOBACCO,1495.00,12261.58,17337.99,3240.34,1836.07,13.02,CIGARETTES/ TOBACCO,1069.00,11098.39,15187.44,2838.90,1250.15,10.12,CIGARETTES,764.00,8638.65,11538.95,2157.20,743.10,7.92,JPS BLUE 100S 20PK,4030600111758,13.30,6.00,59.16,79.80,23.00,14.94,5.70,8.79,20/04/22,1495.00,12261.58,17337.99,3240.34,1836.07,13.02
TOBACCO,1495.00,12261.58,17337.99,3240.34,1836.07,13.02,CIGARETTES/ TOBACCO,1069.00,11098.39,15187.44,2838.90,1250.15,10.12,CIGARETTES,764.00,8638.65,11538.95,2157.20,743.10,7.92,JPS BLUE  20 KS 20PK,4030600111789,13.30,16.00,157.76,212.80,23.00,39.84,15.20,8.79,23/04/22,1495.00,12261.58,17337.99,3240.34,1836.07,13.02
TOBACCO,1495.00,12261.58,17337.99,3240.34,1836.07,13.02,CIGARETTES/ TOBACCO,1069.00,11098.39,15187.44,2838.90,1250.15,10.12,CIGARETTES,764.00,8638.65,11538.95,2157.20,743.10,7.92,PLAYERS NAVY CUT 20S 20PK,4030600178973,15.60,2.00,23.32,31.20,23.00,5.84,2.04,8.04,19/04/22,1495.00,12261.58,17337.99,3240.34,1836.07,13.02
TOBACCO,1495.00,12261.58,17337.99,3240.34,1836.07,13.02,CIGARETTES/ TOBACCO,1069.00,11098.39,15187.44,2838.90,1250.15,10.12,CIGARETTES,764.00,8638.65,11538.95,2157.20,743.10,7.92,JOHN PLAYER BLUE 27'S 27PK   8,4030600207208,18.60,10.00,139.20,186.00,23.00,34.80,12.00,7.94,24/04/22,1495.00,12261.58,17337.99,3240.34,1836.07,13.02
TOBACCO,1495.00,12261.58,17337.99,3240.34,1836.07,13.02,CIGARETTES/ TOBACCO,1069.00,11098.39,15187.44,2838.90,1250.15,10.12,CIGARETTES,764.00,8638.65,11538.95,2157.20,743.10,7.92,JPS BLUE 23'S,4030600261514,14.85,2.00,22.22,29.70,23.00,5.56,1.92,7.95,22/04/22,1495.00,12261.58,17337.99,3240.34,1836.07,13.02
TOBACCO,1495.00,12261.58,17337.99,3240.34,1836.07,13.02,CIGARETTES/ TOBACCO,1069.00,11098.39,15187.44,2838.90,1250.15,10.12,CIGARETTES,764.00,8638.65,11538.95,2157.20,743.10,7.92,JPS COOL GREEN 100'S 20,4030600275696,13.30,1.00,9.83,13.30,23.00,2.49,0.98,9.07,20/04/22,1495.00,12261.58,17337.99,3240.34,1836.07,13.02
TOBACCO,1495.00,12261.58,17337.99,3240.34,1836.07,13.02,CIGARETTES/ TOBACCO,1069.00,11098.39,15187.44,2838.90,1250.15,10.12,CIGARETTES,764.00,8638.65,11538.95,2157.20,743.10,7.92,SUPERKING BLACK 20PK,4030600282953,15.10,42.00,473.34,634.20,23.00,118.53,42.33,8.21,22/04/22,1495.00,12261.58,17337.99,3240.34,1836.07,13.02
TOBACCO,1495.00,12261.58,17337.99,3240.34,1836.07,13.02,CIGARETTES/ TOBACCO,1069.00,11098.39,15187.44,2838.90,1250.15,10.12,CIGARETTES,764.00,8638.65,11538.95,2157.20,743.10,7.92,JPS BLUE 27''S 27'S,4030600289440,17.20,1.00,12.79,17.20,23.00,3.22,1.19,8.51,14/04/22,1495.00,12261.58,17337.99,3240.34,1836.07,13.02
TOBACCO,1495.00,12261.58,17337.99,3240.34,1836.07,13.02,CIGARETTES/ TOBACCO,1069.00,11098.39,15187.44,2838.90,1250.15,10.12,CIGARETTES,764.00,8638.65,11538.95,2157.20,743.10,7.92,JPS BLUE KS 34'S,4030600289471,21.00,14.00,218.68,294.00,23.00,55.02,20.30,8.49,23/04/22,1495.00,12261.58,17337.99,3240.34,1836.07,13.02
