RootCategory,Textbox69,SystemQuantity3,AdjustmentQuanity4,VatSales8,Profit5,Textbox462,ParentCategory,Qty5,CostOfSales5,Sales5,VatSales6,Profit3,Textbox459,ProductCategory,Textbox48,SystemQuantity2,AdjustmentQuanity3,VatSales5,Profit2,Textbox460,ProductName,ProductUOM2,CurrentRTL,Textbox51,Textbox52,Textbox53,VatRate,Textbox54,Profit1,MrgPercent,LastSold,Textbox56,CostOfSales,Textbox57,Textbox60,Profit,OverallMargin
TOBACCO,642.00,5366.03,7343.47,1371.80,605.64,10.14,CIGARETTES/ TOBACCO,531.00,5314.74,7228.65,1351.45,562.46,9.57,CAPSULES,20.00,62.92,129.00,24.11,41.97,40.01,VUSE EPOD CHILLED MINT 12MG,5000393169204,7.00,2.00,6.82,14.00,23.00,2.62,4.56,40.07,10/09/21,642.00,5366.03,7343.47,1371.80,605.64,10.14
TOBACCO,642.00,5366.03,7343.47,1371.80,605.64,10.14,CIGARETTES/ TOBACCO,531.00,5314.74,7228.65,1351.45,562.46,9.57,CAPSULES,20.00,62.92,129.00,24.11,41.97,40.01,VUSE  EPOD CHILLMINT VPRO 6MG,5000393169273,7.00,1.00,3.41,7.00,23.00,1.31,2.28,40.07,12/09/21,642.00,5366.03,7343.47,1371.80,605.64,10.14
TOBACCO,642.00,5366.03,7343.47,1371.80,605.64,10.14,CIGARETTES/ TOBACCO,531.00,5314.74,7228.65,1351.45,562.46,9.57,CAPSULES,20.00,62.92,129.00,24.11,41.97,40.01,VUSE  EPOD VERYBERRY VPRO 12MG,5000393169303,7.00,1.00,3.41,7.00,23.00,1.31,2.28,40.07,15/09/21,642.00,5366.03,7343.47,1371.80,605.64,10.14
TOBACCO,642.00,5366.03,7343.47,1371.80,605.64,10.14,CIGARETTES/ TOBACCO,531.00,5314.74,7228.65,1351.45,562.46,9.57,CAPSULES,20.00,62.92,129.00,24.11,41.97,40.01,VUSE EPOD JUST MANGO VPRO 18MG,5000393169488,7.00,1.00,3.41,7.00,23.00,1.31,2.28,40.07,11/09/21,642.00,5366.03,7343.47,1371.80,605.64,10.14
TOBACCO,642.00,5366.03,7343.47,1371.80,605.64,10.14,CIGARETTES/ TOBACCO,531.00,5314.74,7228.65,1351.45,562.46,9.57,CAPSULES,20.00,62.92,129.00,24.11,41.97,40.01,VUSE EPOD GARDEN STWBERRY 12MG,5000393169525,7.00,1.00,3.41,7.00,23.00,1.31,2.28,40.07,11/09/21,642.00,5366.03,7343.47,1371.80,605.64,10.14
TOBACCO,642.00,5366.03,7343.47,1371.80,605.64,10.14,CIGARETTES/ TOBACCO,531.00,5314.74,7228.65,1351.45,562.46,9.57,CAPSULES,20.00,62.92,129.00,24.11,41.97,40.01,VUSE EPOD GARDEN STWBERRY 18MG,5000393169556,7.00,1.00,3.41,7.00,23.00,1.31,2.28,40.07,10/09/21,642.00,5366.03,7343.47,1371.80,605.64,10.14
TOBACCO,642.00,5366.03,7343.47,1371.80,605.64,10.14,CIGARETTES/ TOBACCO,531.00,5314.74,7228.65,1351.45,562.46,9.57,CAPSULES,20.00,62.92,129.00,24.11,41.97,40.01,VUSE  EPOD VANILLA MEDLEY 12MG,5000393169648,7.00,1.00,3.41,7.00,23.00,1.31,2.28,40.07,12/09/21,642.00,5366.03,7343.47,1371.80,605.64,10.14
TOBACCO,642.00,5366.03,7343.47,1371.80,605.64,10.14,CIGARETTES/ TOBACCO,531.00,5314.74,7228.65,1351.45,562.46,9.57,CAPSULES,20.00,62.92,129.00,24.11,41.97,40.01,VUSE EPEN3 CRSHMINT VPRO,5000393169914,6.00,11.00,32.23,66.00,23.00,12.32,21.45,39.96,15/09/21,642.00,5366.03,7343.47,1371.80,605.64,10.14
TOBACCO,642.00,5366.03,7343.47,1371.80,605.64,10.14,CIGARETTES/ TOBACCO,531.00,5314.74,7228.65,1351.45,562.46,9.57,CAPSULES,20.00,62.92,129.00,24.11,41.97,40.01,VYPE EPOD GOLDEN TOBACCO 18MG,5000393368140,7.00,1.00,3.41,7.00,23.00,1.31,2.28,40.07,10/09/21,642.00,5366.03,7343.47,1371.80,605.64,10.14
TOBACCO,642.00,5366.03,7343.47,1371.80,605.64,10.14,CIGARETTES/ TOBACCO,531.00,5314.74,7228.65,1351.45,562.46,9.57,CIGARETTES,414.00,4331.70,5804.05,1085.16,387.19,8.21,JPS BLUE 100S 20PK,4030600111758,12.50,3.00,27.78,37.50,23.00,7.02,2.70,8.86,15/09/21,642.00,5366.03,7343.47,1371.80,605.64,10.14
